Area name,"Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",population 2016,median_HH_income,GDP_Change 2016,House_price 2019
El Paso County,27.1,39.7,16.6,16.5,17.3,38.4,23.4,20.9,11.7,25.7,36.8,25.8,8.7,22.9,36.6,31.8,5.8,20.4,35.3,38.5,,,,
Fremont County,50.9,32.9,9.3,6.9,33.1,40.1,15.1,11.7,24.6,34.7,28.9,11.8,19.5,36.7,30.3,13.5,9.9,39.3,32.3,18.5,46906,46372,1.48,275523
Garfield County,41.4,35.9,12.8,10,19.6,37,23.2,20.2,14.8,33.3,30.4,21.6,14.6,26.9,34.6,23.8,11.9,27,30.1,31,58906,69161,0.32,283017
Gilpin County,35.1,44.8,10.6,9.5,13,33.2,28.2,25.6,7,27.8,35.7,29.5,5.9,25.6,37.3,31.2,1.5,21.4,37.5,39.6,5905,65472,-4.37,184140
Grand County,40.3,35.9,13.4,10.4,16.3,39.3,23.3,21.2,12.6,28.4,28.8,30.2,7.7,24,33.7,34.5,5.4,26.8,29.8,38,15129,63875,-10.68,337179
Gunnison County,30.8,26.7,18.7,23.8,10.1,25.4,24.9,39.6,9.4,22,31.6,36.9,5.9,17.8,32.7,43.6,2.6,15.9,25.3,56.2,16491,53753,3.62,275615
Hinsdale County,48.8,42.9,0,8.3,13.1,33.2,23.1,30.6,7,30.1,30.9,32,6.9,20.7,37.4,34.9,6.3,22.8,25.3,45.7,787,51717,-6.7,322477
Huerfano County,61,24.4,7.9,6.7,47.4,28.8,12.5,11.3,35,25.4,26.9,12.6,22.2,32.4,29.3,16.1,7.6,29.6,41.6,21.1,6582,34626,12.76,289819
Jackson County,39.5,37.7,13.5,9.2,23.6,46.9,16.1,13.4,17.9,37.6,29.1,15.3,13.8,36.1,30.3,19.9,12.6,28.1,39.2,20,1360,46671,20.05,312527
Jefferson County,25.4,37.3,17.5,19.8,13.8,36.1,23.2,26.8,10.2,25.2,33.9,30.7,8.2,22.6,32.7,36.5,5.5,20.3,29.1,45.2,570839,74342,4.08,146479
Kiowa County,46.4,38.1,10.8,4.7,28.5,47.3,15.3,8.9,30.2,41.4,19.2,9.1,13.7,35.5,34.7,16.1,4.3,35.6,38.7,21.4,1348,43951,10.8,156474
Kit Carson County,46.4,39,7.7,6.9,30.1,38.1,19.3,12.4,26.5,35.8,22,15.8,23,31.6,30,15.4,10.5,37.6,33.2,18.7,,,,
